crime,count,broad,detailed
POSS GP 2 CS- 28 - 399 G,159,Controlled Substances - Other,CS Possession PG2
POSS GP 2 CS- LT 28 G,986,Controlled Substances - Other,CS Possession PG2
POSS MESCALINE,6,Controlled Substances - Other,CS Possession PG2
POSSESS AMPHETAMINE,221,Controlled Substances - Other,CS Possession PG2
POSSESS HASHISH,321,Controlled Substances - Other,CS Possession PG2
POSS CS PG 2 4G - 400G,1215,Controlled Substances - Other,CS Possession PG2 L
POSS CS PG 2-A > 4 OZ  < 5 LBS,2,Controlled Substances - Other,CS Possession PG2 L
POSS GP 2 CS- 400 G OR MORE,84,Controlled Substances - Other,CS Possession PG2 L
POSS CS PG 2 <1GRAM,2563,Controlled Substances - Other,CS Possession PG2 S
POSS CS PG 2-A    < 2OZ,23,Controlled Substances - Other,CS Possession PG2 S
POSS CS PG2<1 G DRUG FREE ZONE,24,Controlled Substances - Other,CS Possession PG2 S
UNL/INT/KNOW POSS CS PG II <1,6,Controlled Substances - Other,CS Possession PG2 S
POSS CS PG 3 28-200 GRAMS,1279,Controlled Substances - Other,CS Possession PG3/4
POSS CS PG 4 <28 GRAMS,2352,Controlled Substances - Other,CS Possession PG3/4
POSS CS PG 4 28-200 GRAMS,1264,Controlled Substances - Other,CS Possession PG3/4
POSS CS PG3>28G DRUG FREE ZONE,25,Controlled Substances - Other,CS Possession PG3/4
POSS GP 3 CS- LT 200 G,7448,Controlled Substances - Other,CS Possession PG3/4
POSS GP 4 CS- LT 200 G,294,Controlled Substances - Other,CS Possession PG3/4
POSS. ANABOLIC STEROID,2,Controlled Substances - Other,CS Possession PG3/4
POSSESS BARBITURATE,98,Controlled Substances - Other,CS Possession PG3/4
POSS CS PG 3 200-400 GRAMS,269,Controlled Substances - Other,CS Possession PG3/4 L
POSS CS PG 4 200-400 GRAMS,1069,Controlled Substances - Other,CS Possession PG3/4 L
POSS CS PG 4 OVER 400 GRAMS,660,Controlled Substances - Other,CS Possession PG3/4 L
POSS CS PG3>1G DRUG FREE ZONE,17,Controlled Substances - Other,CS Possession PG3/4 L
POSS GP 3 CS- 200-399 G,87,Controlled Substances - Other,CS Possession PG3/4 L
POSS GP 3 CS- 400 G OR MORE,180,Controlled Substances - Other,CS Possession PG3/4 L
POSS GP 4 CS- 200 - 399 G,92,Controlled Substances - Other,CS Possession PG3/4 L
POSS GP 4 CS- 400 G OR MORE,72,Controlled Substances - Other,CS Possession PG3/4 L
POSS CS PG 3 <28 GRAMS,18980,Controlled Substances - Other,CS Possession PG3/4 S
POSS CS PG3<28G DRUG FREE ZONE,422,Controlled Substances - Other,CS Possession PG3/4 S
POSS CS PG4<28G DRUG FREE ZONE,34,Controlled Substances - Other,CS Possession PG3/4 S
ATT OBTN DRUG FALSE PRES-PHONE,53,Controlled Substances - Other,CS Prescription
ATTEMPT TO OBTAIN DRUGS BY FRA,77,Controlled Substances - Other,CS Prescription
FRAUD/DEL PRESC NOT MEDICAL,22,Controlled Substances - Other,CS Prescription
ILLEGELLY POSS PRESCRP FORM,16,Controlled Substances - Other,CS Prescription
ATT PASS FORGED PRESCRIPTION,14,Controlled Substances - Other,CS Prescription
ALTER A PRESCRIPTION,262,Controlled Substances - Other,CS Prescription
DISPENSE V DRUG-NON-MED PURP,77,Controlled Substances - Other,CS Prescription
FORG/INCR PRES QTY/DANG DRUG,142,Controlled Substances - Other,CS Prescription
FORGED PRESCRIPTION,309,Controlled Substances - Other,CS Prescription
FRAUD INTENT OBTAIN CS SCH III,19,Controlled Substances - Other,CS Prescription
FRAUD POSS CS PRESC SCH 2 & 3,86,Controlled Substances - Other,CS Prescription
FRAUD POSS CS PRESCRIPTION,27,Controlled Substances - Other,CS Prescription
FRAUD USE REG FORM SCH 3 & 4,743,Controlled Substances - Other,CS Prescription
OBTAIN DRUGS BY FORGE PRESCRIP,83,Controlled Substances - Other,CS Prescription
OBTAIN DRUGS BY FRAUD-SCH I-II,158,Controlled Substances - Other,CS Prescription
OBTAIN DRUGS BY FRAUD-SCH III/,2039,Controlled Substances - Other,CS Prescription
OBTAIN DRUGS BY FRAUD-SCH V,570,Controlled Substances - Other,CS Prescription
POSS CS PRESCRIPTION,71,Controlled Substances - Other,CS Prescription
POSS CS PRESCRIPTION SCH II/II,2,Controlled Substances - Other,CS Prescription
POSS PRESCRIP FORM CON SUBS,48,Controlled Substances - Other,CS Prescription
POSS/ATT POSS CS BY FRAUD SCH,99,Controlled Substances - Other,CS Prescription
PRACTICE MEDICINE IN VIOL SUBT,48,Controlled Substances - Other,CS Prescription
UNLAW-POSS.PRESCRIPTION FORM,14,Controlled Substances - Other,CS Prescription
POSS PRESCRIPTION FORM,13,Controlled Substances - Other,CS Prescription
ATT INJURE CHILD,6,Crime Against Children,Att Crime Against Children
ATT INJURY CHILD,85,Crime Against Children,Att Crime Against Children
ATT INJURY TO A CHILD,21,Crime Against Children,Att Crime Against Children
ATT RECKLESS INJURY TO CHILD,12,Crime Against Children,Att Crime Against Children
ATT ENDANGERING A CHILD,148,Crime Against Children,Att Endangering Child
ATT ENTICING CHILD W/INT FELON,12,Crime Against Children,Att Endangering Child
ATT INTERFERE CHILD CUSTODY,8,Crime Against Children,Child Custody
CRIM NON-SUPPORT,163,Crime Against Children,Child Custody
CRIM NON-SUPPORT-2ND(FEL),27,Crime Against Children,Child Custody
CRIM NON-SUPPORT-OUT OF STATE,27,Crime Against Children,Child Custody
INTERFERE CHILD CUSTODY,439,Crime Against Children,Child Custody
INTERFERE CHILD CUSTODY OUT OF,1,Crime Against Children,Child Custody
INTERFERE CHILD CUSTODY-12.44,8,Crime Against Children,Child Custody
INTERFERE CHILD CUSTODY-RENUM,2,Crime Against Children,Child Custody
INTERFERENCE W/CHILD CUSTODY,14,Crime Against Children,Child Custody
ISSUANCE BAD CHECK CHILD SUPPO,1,Crime Against Children,Child Custody
NON-SUPPORT CHILD,115,Crime Against Children,Child Custody
CONSP INTRFRE CHILD CUSTODY,1,Crime Against Children,Child Custody
CHILD ABUSE/NEGLECT REPORT,4,Crime Against Children,Crime Against Children
CHILD DESERTION,2,Crime Against Children,Crime Against Children
CHILD LABOR LAW VIOLATION,4,Crime Against Children,Crime Against Children
CON USE MINOR-DISP HRMFUL MATT,17,Crime Against Children,Crime Against Children
CONTRIB DELINQ CHILD,36,Crime Against Children,Crime Against Children
CRIM NEG CHILD SBI UNDER 15,1,Crime Against Children,Crime Against Children
EMPLOYMENT-HARMFUL TO A MINOR,11,Crime Against Children,Crime Against Children
ENTICE CHILD,276,Crime Against Children,Crime Against Children
ENTICING CHIL W/INT FELONY,87,Crime Against Children,Crime Against Children
FAIL REPORT CHILD ABUSE,316,Crime Against Children,Crime Against Children
FAIL RPT SEX/AGG ASLT CHILD,8,Crime Against Children,Crime Against Children
FAIL TO REPORT CHILD ABUSE,14,Crime Against Children,Crime Against Children
HARBORING RUNAWAY CHILD,846,Crime Against Children,Crime Against Children
MAKE FIREARM ACCESSIBLE CHILD,1,Crime Against Children,Crime Against Children
PASS STOPPED SCHOOL BUS,29,Crime Against Children,Crime Against Children
PURCHASE OF A CHILD,1,Crime Against Children,Crime Against Children
SALE OF A CHILD,9,Crime Against Children,Crime Against Children
SALE/PURCH OF A CHILD,20,Crime Against Children,Crime Against Children
UNLAWFUL RESTRAINT CHILD UNDER,69,Crime Against Children,Crime Against Children
UNRESTRAINED CHILD,2,Crime Against Children,Crime Against Children
HAR/RUNAWAY CHLD EXCP/CUSTODY,17,Crime Against Children,Crime Against Children
ATT USE MINOR - DISP HARMF MAT,1,Crime Against Children,Crime Against Children
DIST HARMFUL MATTER-MINOR,1,Crime Against Children,Crime Against Children
HARMFUL MATERIAL TO MINOR,1,Crime Against Children,Crime Against Children
SALE HARMFUL MATTER-MINOR,1,Crime Against Children,Crime Against Children
ABAN/ENDANG CHILD W/INT TO RET,1464,Crime Against Children,Endangering Child
ABAN/ENDANGER CHILD-CRIM NEG,292,Crime Against Children,Endangering Child
ABAND CHILD UUNDER 15 DANGER,40,Crime Against Children,Endangering Child
ABANDON/ENDANG CHILD W/O INT T,89,Crime Against Children,Endangering Child
ABANDONING CHILD UNDER 15,105,Crime Against Children,Endangering Child
ENDANGERING A CHILD,3323,Crime Against Children,Endangering Child
LEAVING CHILD UNATTENDED IN VE,23,Crime Against Children,Endangering Child
NEGLECTING CHILD,12,Crime Against Children,Endangering Child
RECKLESSLY ENDANGERING A CHILD,4,Crime Against Children,Endangering Child
INJURE CHILD,2654,Crime Against Children,Injury to Child
INJURY CHILD UNDER 15 B/INJURY,4139,Crime Against Children,Injury to Child
INJURY CHILD YOUNGER THAN 15,75,Crime Against Children,Injury to Child
INJURY CHILD-CRIMINAL NEG,171,Crime Against Children,Injury to Child
INJURY CHILD-RECK-BOD INJ,627,Crime Against Children,Injury to Child
INJURY CHILD-RECK-MENT INJ,78,Crime Against Children,Injury to Child
INJURY TO A CHILD,332,Crime Against Children,Injury to Child
INJURY TO CHILD BY OMISSION,114,Crime Against Children,Injury to Child
INJURY TO CHILD-SBI,1059,Crime Against Children,Injury to Child
INJURY TO CHILD-SMD/I,6,Crime Against Children,Injury to Child
INJURY TO CHILD-SPD/I,11,Crime Against Children,Injury to Child
INJURY TO CHILD-UNDER 12,29,Crime Against Children,Injury to Child
RECKLESS INJURY TO A CHILD,8,Crime Against Children,Injury to Child
RECKLESS INJURY TO A CHILD B/I,482,Crime Against Children,Injury to Child
RECKLESS INJURY TO CHILD,452,Crime Against Children,Injury to Child
ABUSE OF OFF CAP >=500 <1500,4,Crime by Public Servants,Crime by Public Servants
ABUSE OF OFF CAP>=20 <500,17,Crime by Public Servants,Crime by Public Servants
ABUSE OF OFFICIAL CAPACITY,11,Crime by Public Servants,Crime by Public Servants
OFFICIAL MISCONDUCT,56,Crime by Public Servants,Crime by Public Servants
OFFICIAL MISCONDUCT-MISAPPLY,119,Crime by Public Servants,Crime by Public Servants
OFFICIAL OPPRESSION,137,Crime by Public Servants,Crime by Public Servants
OFFICIAL OPPRESSION-MISD,204,Crime by Public Servants,Crime by Public Servants
PUBLIC SERV ACCEPT GIFT,36,Crime by Public Servants,Crime by Public Servants
THEFT $20K-100K PUB SERV,63,Crime by Public Servants,Crime by Public Servants
THEFT OVER $200K PUB SERV,9,Crime by Public Servants,Crime by Public Servants
POLICE BRUTALITY,18,Crime by Public Servants,Crime by Public Servants
CIVIL RIGHTS VIOL - PERS IN CU,10,Crime by Public Servants,Crime by Public Servants
THEFT $500-1500 PUB SERV,50,Crime by Public Servants,Crime by Public Servants
THEFT < 20.00 PUB SERVANT,1,Crime by Public Servants,Crime by Public Servants
ABUSE OF OFF CAP>=1500 <20K,8,Crime by Public Servants,Crime by Public Servants
PUBLIC SERVANT-MISAPPLY,6,Crime by Public Servants,Crime by Public Servants
ABUSE OF OFF CAP >=20K <100K,3,Crime by Public Servants,Crime by Public Servants
MISUSE OF CRIMINAL HIST INFORM,2,Crime by Public Servants,Crime by Public Servants
MISUSE OF OFFICIAL INFORMATION,2,Crime by Public Servants,Crime by Public Servants
COMPENSATE PAST BEHAVIOR,1,Crime by Public Servants,Crime by Public Servants
MISUSE OF CRIMINAL HIST/INFO,1,Crime by Public Servants,Crime by Public Servants
MISUSE PUBLIC INFO,1,Crime by Public Servants,Crime by Public Servants
PUB SERVANT COLLECTING DEBTS,1,Crime by Public Servants,Crime by Public Servants
PUB SERVANT FAIL TO DO DUTY,1,Crime by Public Servants,Crime by Public Servants
STATE PROPERTY MISUSE,1,Crime by Public Servants,Crime by Public Servants
VIOLATION OPEN MEETING ACT,1,Crime by Public Servants,Crime by Public Servants
SHOOTING INVESTIGATION,1861,Crime by Public Servants,Shooting Investigation
DIS CON UNRES NOISE PRI RES,31,Disorderly Conduct,Disorderly Conduct
DIS COND UNREASON NOXIOUS ODOR,2,Disorderly Conduct,Disorderly Conduct
DIS CONDUCT CHEM ODOR        P,1,Disorderly Conduct,Disorderly Conduct
DIS CONDUCT HOTEL PEEPING    P,1,Disorderly Conduct,Disorderly Conduct
DIS CONDUCT INDECENT EXPOS   P,153,Disorderly Conduct,Disorderly Conduct
DIS CONDUCT INDECENT EXPOSURE,32,Disorderly Conduct,Disorderly Conduct
DIS CONDUCT OFFENSE GESTURE,18,Disorderly Conduct,Disorderly Conduct
DIS CONDUCT PEEPING TOM      P,1,Disorderly Conduct,Disorderly Conduct
DISCON UNRES NOISE PUB PLA,59,Disorderly Conduct,Disorderly Conduct
DISORDERLY CONDUCT,3049,Disorderly Conduct,Disorderly Conduct
DISORDERLY CONDUCT - EXPOSURE,13,Disorderly Conduct,Disorderly Conduct
DIS COND-ABUSIVE/THREATEN LANG,101,Disorderly Conduct,Disorderly Conduct
DIS CONDUCT ABUSE/THREAT     P,217,Disorderly Conduct,Disorderly Conduct
DISORD CONDUCT VULG LANG,103,Disorderly Conduct,Disorderly Conduct
ATT ESCAPE,68,Evading/Resisting/Escaping,Att Evading/Resisting/Escaping
ATT ESCAPE - ARR/CONF-FELONY,136,Evading/Resisting/Escaping,Att Evading/Resisting/Escaping
ATT ESCAPE - PENAL INST,17,Evading/Resisting/Escaping,Att Evading/Resisting/Escaping
ATT EVAD ARREST/DETENTION W/VE,69,Evading/Resisting/Escaping,Att Evading/Resisting/Escaping
ATT EVADE ARREST - 2ND OFFENDE,7,Evading/Resisting/Escaping,Att Evading/Resisting/Escaping
ATT EVADE ARREST W/M.V.,72,Evading/Resisting/Escaping,Att Evading/Resisting/Escaping
ATT EVADING ARREST,45,Evading/Resisting/Escaping,Att Evading/Resisting/Escaping
ATTEMPT RESIST-ARREST,10,Evading/Resisting/Escaping,Att Evading/Resisting/Escaping
ATTEMPT TO JUMP BAIL-FAIL TO A,35,Evading/Resisting/Escaping,Att Evading/Resisting/Escaping
ATT ESCAPE-WHL ARR/CONF-FELONY,19,Evading/Resisting/Escaping,Att Evading/Resisting/Escaping
ATT UNAUTH ABS COMM CORR FAC,11,Evading/Resisting/Escaping,Att Evading/Resisting/Escaping
BAIL JUMP-FELONY,139,Evading/Resisting/Escaping,Evading/Resisting/Escaping
BAIL JUMP,29,Evading/Resisting/Escaping,Evading/Resisting/Escaping
BAIL JUMP-FAIL TO APPEAR,29,Evading/Resisting/Escaping,Evading/Resisting/Escaping
BAIL JUMP-FAIL TO APP-FEL,983,Evading/Resisting/Escaping,Evading/Resisting/Escaping
BOND JUMPING,20,Evading/Resisting/Escaping,Evading/Resisting/Escaping
DISARMING PEACE OFFICER,124,Evading/Resisting/Escaping,Evading/Resisting/Escaping
ESCAPE,3851,Evading/Resisting/Escaping,Evading/Resisting/Escaping
ESCAPE IMPLEMENTS,6,Evading/Resisting/Escaping,Evading/Resisting/Escaping
ESCAPE-CAUSE BODILY INJ,157,Evading/Resisting/Escaping,Evading/Resisting/Escaping
ESCAPE-PENAL INSTIT,155,Evading/Resisting/Escaping,Evading/Resisting/Escaping
ESCAPE-WHILE ARR/CONF-FELONY,2264,Evading/Resisting/Escaping,Evading/Resisting/Escaping
EVAD ARR/DET TIRE DEFLA DEV ON,2,Evading/Resisting/Escaping,Evading/Resisting/Escaping
EVAD ARREST/DETENTION W/PREV C,1099,Evading/Resisting/Escaping,Evading/Resisting/Escaping
EVAD ARREST/DETENTION W/VEH,2040,Evading/Resisting/Escaping,Evading/Resisting/Escaping
EVADE ARREST,25820,Evading/Resisting/Escaping,Evading/Resisting/Escaping
EVADE ARREST - 2ND OFFENDER,491,Evading/Resisting/Escaping,Evading/Resisting/Escaping
EVADE ARREST M/V DEADLY WEAPON,3,Evading/Resisting/Escaping,Evading/Resisting/Escaping
EVADE ARREST W/MOTOR VEHICLE,10271,Evading/Resisting/Escaping,Evading/Resisting/Escaping
EVADE ARREST-EXPOSE TO SBI,136,Evading/Resisting/Escaping,Evading/Resisting/Escaping
EVADE ARREST-RECKLESS ENDANGER,98,Evading/Resisting/Escaping,Evading/Resisting/Escaping
EVADE ARREST-SBI OR DEATH,56,Evading/Resisting/Escaping,Evading/Resisting/Escaping
EVADE DETENTION,26044,Evading/Resisting/Escaping,Evading/Resisting/Escaping
EVADING ARREST/DETENTION,5091,Evading/Resisting/Escaping,Evading/Resisting/Escaping
EVADING ARREST/DETENTION CAUSE,3,Evading/Resisting/Escaping,Evading/Resisting/Escaping
EVADING ARREST/DETENTION W/VEH,665,Evading/Resisting/Escaping,Evading/Resisting/Escaping
EVADING ARREST-2ND OFFENDER,234,Evading/Resisting/Escaping,Evading/Resisting/Escaping
EVADING ARREST-DEATH,10,Evading/Resisting/Escaping,Evading/Resisting/Escaping
EVADING ARREST-MOTOR VEHICLE,4318,Evading/Resisting/Escaping,Evading/Resisting/Escaping
HINDER APPREHENSION,3099,Evading/Resisting/Escaping,Evading/Resisting/Escaping
RESIST ARR-SEARCH,34159,Evading/Resisting/Escaping,Evading/Resisting/Escaping
RESIST ARR-SEARCH W-WPN,23,Evading/Resisting/Escaping,Evading/Resisting/Escaping
RESISTING ARREST,56,Evading/Resisting/Escaping,Evading/Resisting/Escaping
UNAUTH ABSENCE COMM CORR FAC,257,Evading/Resisting/Escaping,Evading/Resisting/Escaping
FUGITIVE,11,Evading/Resisting/Escaping,Evading/Resisting/Escaping
FLEEING FROM POLICE OFICER,153,Evading/Resisting/Escaping,Fleeing from police officer
FLEEING P/O IMMINENT DANG/SBI,3,Evading/Resisting/Escaping,Fleeing from police officer
FLEEING POLICE OFFICER,43,Evading/Resisting/Escaping,Fleeing from police officer
FLEEING POLICE OFFICER W/SBI,2,Evading/Resisting/Escaping,Fleeing from police officer
FLEEING/ATT ELUDE POLICE OFF,1178,Evading/Resisting/Escaping,Fleeing from police officer
ATT FORGE COMMERCIAL DOCUMENT,56,Fraud/Forgery/Impersonation,Att Forgery
ATT FORGE GOVE INSTR,993,Fraud/Forgery/Impersonation,Att Forgery
ATT FORGE WRITING,46,Fraud/Forgery/Impersonation,Att Forgery
ATT FORGERY OF GOVT INST,96,Fraud/Forgery/Impersonation,Att Forgery
POSS CRIM INSTRUMENT-FORGERY,31,Fraud/Forgery/Impersonation,Att Forgery
ATT FORGE GOVT INSTRUMENT,17,Fraud/Forgery/Impersonation,Att Forgery
ATT PASS FORGED WRITING,11,Fraud/Forgery/Impersonation,Att Forgery
ATT FORGE CHECK,218,Fraud/Forgery/Impersonation,Att Forgery
ATT FRAUD/USE POSS IDENTIFY/IN,57,Fraud/Forgery/Impersonation,Att Fraud/Forgery/Impersonation
ATT TAMPER GOVT RECORD,536,Fraud/Forgery/Impersonation,Att Fraud/Forgery/Impersonation
ATT TAMPER GOVT RECORD-HARM,48,Fraud/Forgery/Impersonation,Att Fraud/Forgery/Impersonation
ATTEMPTED FORGERY,55,Fraud/Forgery/Impersonation,Att Fraud/Forgery/Impersonation
ATT CRED CARD ABUSE-SELLER,95,Fraud/Forgery/Impersonation,Credit Card Fraud
ATT DEBIT CARD ABUSE,35,Fraud/Forgery/Impersonation,Credit Card Fraud
ATT USE CRED CARD-FICT NR,24,Fraud/Forgery/Impersonation,Credit Card Fraud
CRED CARD-FICT NUMBER,6,Fraud/Forgery/Impersonation,Credit Card Fraud
CRED CARD-MISUSE-EXP,319,Fraud/Forgery/Impersonation,Credit Card Fraud
CRED CARD-MISUSE-OTHER,445,Fraud/Forgery/Impersonation,Credit Card Fraud
CRED CARD-PRESENT-OTHER,7893,Fraud/Forgery/Impersonation,Credit Card Fraud
CREDIT CARD MISUSE,568,Fraud/Forgery/Impersonation,Credit Card Fraud
CREDIT/DEBIT CARD ABUSE,8567,Fraud/Forgery/Impersonation,Credit Card Fraud
DEBIT CARD-FICTITIOUS CARD,71,Fraud/Forgery/Impersonation,Credit Card Fraud
DEBIT CARD-PRESENT/USE NON-EXP,132,Fraud/Forgery/Impersonation,Credit Card Fraud
CREDIT CARD/DEBT CARD ABUSE EL,30,Fraud/Forgery/Impersonation,Credit Card Fraud
CRED CARD-PRESENT-EXP,13,Fraud/Forgery/Impersonation,Credit Card Fraud
ATT MISUSE CRED CARD-EXP,10,Fraud/Forgery/Impersonation,Credit Card Fraud
ATT PRESENT CRED CARD-EXP,10,Fraud/Forgery/Impersonation,Credit Card Fraud
CREDIT CARD TRNS LAUN>=20<500,10,Fraud/Forgery/Impersonation,Credit Card Fraud
DEBIT CARD ABUSE - GENERAL,10,Fraud/Forgery/Impersonation,Credit Card Fraud
STEAL CRED CARD,44,Fraud/Forgery/Impersonation,Credit Card Fraud
DECEP SECURE EXEC DOCUMENT,127,Fraud/Forgery/Impersonation,Fiduciary Fraud
FIDUCIARY MISAPP-$200-$10000,148,Fraud/Forgery/Impersonation,Fiduciary Fraud
FIDUCIARY MISAPP-OVER $10000,90,Fraud/Forgery/Impersonation,Fiduciary Fraud
MISAPP/FIDUC/FINAN 100K-200K,25,Fraud/Forgery/Impersonation,Fiduciary Fraud
MISAPP/FIDUC/FINAN 1500-20K,44,Fraud/Forgery/Impersonation,Fiduciary Fraud
MISAPP/FIDUC/FINAN 20K-100K,56,Fraud/Forgery/Impersonation,Fiduciary Fraud
MISAPP/FIDUC/FINAN OVER 200K,61,Fraud/Forgery/Impersonation,Fiduciary Fraud
"MISAPP/FIDUC/FINAN/ELD 1,500-2",2,Fraud/Forgery/Impersonation,Fiduciary Fraud
SEC EXEC DOC BY DECEPT>=$500<$,66,Fraud/Forgery/Impersonation,Fiduciary Fraud
SEC EXEC DOC BY DECEPT>=100K<2,15,Fraud/Forgery/Impersonation,Fiduciary Fraud
SEC EXEC DOC BY DECEPT>=1500<2,133,Fraud/Forgery/Impersonation,Fiduciary Fraud
SEC EXEC DOC BY DECEPT>=20K<10,49,Fraud/Forgery/Impersonation,Fiduciary Fraud
"SEC EXEC DOC BY DECEPT >=$200,",15,Fraud/Forgery/Impersonation,Fiduciary Fraud
MISAPP/FIDUC/FINAN 500-1500,12,Fraud/Forgery/Impersonation,Fiduciary Fraud
FIDUCIARY MISAPP-UNDER $200,11,Fraud/Forgery/Impersonation,Fiduciary Fraud
SEC EXEC DOC BY DECEPT(PRE 9/1,11,Fraud/Forgery/Impersonation,Fiduciary Fraud
FORGE COMMERCIAL DOCUMENT,198,Fraud/Forgery/Impersonation,Forgery
FORGE COMMERCIAL INSTRUMENT,57,Fraud/Forgery/Impersonation,Forgery
FORGE COUNTERFEIT DL/OTHR INST,155,Fraud/Forgery/Impersonation,Forgery
FORGE GOVT INSTRUMENT,2327,Fraud/Forgery/Impersonation,Forgery
FORGE WRITING,493,Fraud/Forgery/Impersonation,Forgery
FORGERY,20812,Fraud/Forgery/Impersonation,Forgery
FORGERY BY UTTERING,338,Fraud/Forgery/Impersonation,Forgery
FORGERY COMMERCIAL INSTRUMENT,224,Fraud/Forgery/Impersonation,Forgery
FORGERY FINANCIAL INSTRUMENT E,18,Fraud/Forgery/Impersonation,Forgery
FORGERY GOVERNMENT INSTRUMENT,945,Fraud/Forgery/Impersonation,Forgery
FORGERY GOVT DOCUMENT,238,Fraud/Forgery/Impersonation,Forgery
FORGERY GOVT FINANCIAL INST,1973,Fraud/Forgery/Impersonation,Forgery
FORGERY GOVT FINANCIAL INSTRUM,66,Fraud/Forgery/Impersonation,Forgery
TAMPER WITH I.D. NO POSSESS,25,Fraud/Forgery/Impersonation,Forgery
POSS COUNTERFEIT DRIVERS-LIC,23,Fraud/Forgery/Impersonation,Forgery
POSS CONTERFEIT IDENTIFICATION,22,Fraud/Forgery/Impersonation,Forgery
FALSE ENTRY GOVERNMENT INSTR,18,Fraud/Forgery/Impersonation,Forgery
FORGERY CRIM SIMULATION,17,Fraud/Forgery/Impersonation,Forgery
PASS FORGED COMM DOCUMENT,13,Fraud/Forgery/Impersonation,Forgery
PASS FORGED GOVT INSTRUMENT,13,Fraud/Forgery/Impersonation,Forgery
REM/ALT/OBL/ID MARKS /POSSWOID,13,Fraud/Forgery/Impersonation,Forgery
POSS FORGED GOVT INSTRUMENT,12,Fraud/Forgery/Impersonation,Forgery
POSS FORGED COUNTERFIT DRIV LI,10,Fraud/Forgery/Impersonation,Forgery
FALSE APPL. DRIV/LIC/CERT.,26,Fraud/Forgery/Impersonation,Forgery
FALSE INFO. TITLE APPLICATION,28,Fraud/Forgery/Impersonation,Forgery
FICTITIOUS INSPECTION STICKER,38,Fraud/Forgery/Impersonation,Forgery
FICTITIOUS REGISTRATION,13,Fraud/Forgery/Impersonation,Forgery
FICT. DL/CERT/ID,852,Fraud/Forgery/Impersonation,Forgery
DRIVER LICENSE/ID FALSE,14,Fraud/Forgery/Impersonation,Forgery
POSSESSION OF FICTITIOUS D.L.,14,Fraud/Forgery/Impersonation,Forgery
FICTITIOUS INSPECTION CERT,118,Fraud/Forgery/Impersonation,Forgery
FICTITIOUS LICENSE PLATE,453,Fraud/Forgery/Impersonation,Forgery
MAN/W/INT S/COUNTERF INST/TDL,13,Fraud/Forgery/Impersonation,Forgery
PASS FORGED WRITING,45,Fraud/Forgery/Impersonation,Forgery
POSS CONTERFEIT DRIVERS LICENS,462,Fraud/Forgery/Impersonation,Forgery
POSS FORGED DRIVERS LICENSE,41,Fraud/Forgery/Impersonation,Forgery
POSS.FICT/CNTRFIT/INSP/CERT/IN,1116,Fraud/Forgery/Impersonation,Forgery
POSS FORGED WRITING,26,Fraud/Forgery/Impersonation,Forgery
FORGE CHECK,12978,Fraud/Forgery/Impersonation,Forgery - Check
PASS FORGED CHECK,1203,Fraud/Forgery/Impersonation,Forgery - Check
ISSUE BAD CHECK,434,Fraud/Forgery/Impersonation,Forgery - Check
POSS FORGED CHECK,1154,Fraud/Forgery/Impersonation,Forgery - Check
ILL USE/ALT/TRSNF FOOD STAMPS<,107,Fraud/Forgery/Impersonation,Fraud - Social Services
ILL USE/ALT/TRSNF FOOD STAMPS>,113,Fraud/Forgery/Impersonation,Fraud - Social Services
SECURING EXEC/DOC FOOD STAMPS,117,Fraud/Forgery/Impersonation,Fraud - Social Services
UNEMPLOY COMPENSATE VIOL,1839,Fraud/Forgery/Impersonation,Fraud - Social Services
UNLAWFUL POSS FOOD STAMPS,40,Fraud/Forgery/Impersonation,Fraud - Social Services
WELFARE FRAUD,6551,Fraud/Forgery/Impersonation,Fraud - Social Services
ILL REDEMPTION OF FOOD STAMPS,139,Fraud/Forgery/Impersonation,Fraud - Social Services
UNAUTH POSS/USE FOOD STAMPS >=,8,Fraud/Forgery/Impersonation,Fraud - Social Services
UNAUTH USE OF FOOD STAMPS,35,Fraud/Forgery/Impersonation,Fraud - Social Services
ILL REDEMPTION F/STAMP BENEFIT,10,Fraud/Forgery/Impersonation,Fraud - Social Services
ALTER OR REMOVE MTR VEH NO.,47,Fraud/Forgery/Impersonation,Fraud/Forgery/Impersonation
CLAIM LOTT PRZ BY FRD <$10K,34,Fraud/Forgery/Impersonation,Fraud/Forgery/Impersonation
CLAIM LOTT PRZ BY FRD <$200,41,Fraud/Forgery/Impersonation,Fraud/Forgery/Impersonation
DRUG MISBRANDING,68,Fraud/Forgery/Impersonation,Fraud/Forgery/Impersonation
FALSE INFORMATION OR FORGERY,16,Fraud/Forgery/Impersonation,Fraud/Forgery/Impersonation
FALSE STAT TO OB LICENSE (RACE,63,Fraud/Forgery/Impersonation,Fraud/Forgery/Impersonation
FALSE STATE TO GET CREDIT,531,Fraud/Forgery/Impersonation,Fraud/Forgery/Impersonation
FALSE STATEMENT TO OBTAIN CRED,580,Fraud/Forgery/Impersonation,Fraud/Forgery/Impersonation
FALSE STATMNT OBT/PROP/CREDIT,76,Fraud/Forgery/Impersonation,Fraud/Forgery/Impersonation
FRAUD,396,Fraud/Forgery/Impersonation,Fraud/Forgery/Impersonation
FRAUD NON-GOVERNMENT WRITING,644,Fraud/Forgery/Impersonation,Fraud/Forgery/Impersonation
